,smiles,GWP100,LT,RE,lip,sol,GWP
139,C(C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl,2.1773045063,0.3573409319,-0.5827100873,0.0617156774,-3.553384304,150.4196266161
7279,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1774921417,0.6170377731,-0.6956530809,0.3487145901,-4.913588047,150.4846289341
4867,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(Cl)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1775677204,0.7414149046,-0.7085136175,0.3496431112,-4.6821713448,150.5108195057
12193,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1775801182,0.6355655789,-0.691701293,0.3127827048,-4.8821139336,150.5151161861
1105,C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1777186394,0.4882699251,-0.6404796839,0.2630202174,-4.2674646378,150.5631316686
7261,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1779088974,0.557254374,-0.6966147423,0.3758695722,-4.8148627281,150.6291056125
12922,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1779611111,0.6587586403,-0.7011879683,0.363167882,-4.8789596558,150.6472162986
11536,C(C(C(C(C(C(C(C(F)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1780509949,0.7631934881,-0.7051608562,0.2965698242,-4.9749770164,150.6783982427
3688,C(C(C(C(C(C(C(F)(Cl)Cl)(F)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1780619621,0.6233455539,-0.7069187164,0.3482208252,-4.6185603142,150.6822033779
11842,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1781055927,0.599416256,-0.6876846552,0.3770335913,-4.7626481056,150.69734215
799,C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1781322956,0.4859767556,-0.6974102259,0.2563120127,-4.3691749573,150.7066081597
5281,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1781413555,0.6512812376,-0.6662374735,0.3759866953,-4.6449203491,150.7097521139
5686,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1781702042,0.6537302136,-0.6596374512,0.3715186715,-4.6747512817,150.7197635628
