,smiles,GWP,name
269,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F,,
270,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(F)F,,
271,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl,,
272,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F,,
273,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(F)F,,
274,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl,,
275,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F,,
276,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F,,
277,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
278,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F,,
279,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F,,
280,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl,,
281,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F,,
282,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F)(F)F,,
283,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl,,
284,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)F,,
285,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F,,
286,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,,
287,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)F,,
288,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F)(F)F,,
289,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl,,
290,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F)(Cl)F,,
291,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(F)F)(F)F,,
292,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(F)F)(Cl)Cl,,
